make;model;year;mileage;engine_power;fuel_type;gearbox;price
volvo;v40;2016;225900;120;diesel;manual;27900
chevrolet;malibu;2018;95000;130;petrol;automatic;37900
ford;ka;2015;76400;69;petrol;manual;18400
kia;sportage;2018;75802;132;petrol;manual;65000
opel;astra;2012;140563;87;petrol;manual;19000
renault;kadjar;2019;83875;140;petrol;manual;54900
ford;kuga;2018;244250;150;diesel;manual;47998
kia;sportage;2022;155000;150;petrol;automatic;83025
volvo;xc-40;2020;156000;262;plugin-hybrid;automatic;78900
audi;q7;2009;211000;240;diesel;automatic;37000
hyundai;i30;2009;155669;109;petrol-lpg;manual;10800
volkswagen;touran;2012;106400;170;petrol;automatic;35999
volvo;s60;2010;220445;163;diesel;manual;22000
volkswagen;golf-plus;2008;58500;102;petrol;manual;18900
renault;megane;2010;171809;140;petrol;automatic;17000
audi;a7;2016;162308;340;petrol;automatic;36000
ssangyong;korando;2012;165000;175;diesel;manual;12500
citroen;berlingo;2017;113500;120;diesel;manual;36900
ford;kuga;2022;140000;190;hybrid;automatic;69999
volkswagen;sharan;2015;165929;140;diesel;manual;49000
mercedes-benz;klasa-a;2010;223937;109;diesel;manual;9900
ford;fiesta;2020;36875;75;petrol;manual;38500
renault;espace;2018;105754;225;petrol;automatic;78000
mercedes-benz;klasa-c;2007;260000;224;diesel;automatic;15000
ford;s-max;2007;331556;125;diesel;manual;7000
land-rover;range-rover-evoque;2016;140000;180;diesel;manual;25900
dodge;journey;2008;210000;170;petrol;manual;17900
ford;edge;2022;68000;250;petrol-lpg;automatic;102900
bmw;seria-3;1999;227000;118;petrol;manual;7999
audi;s3;2019;82321;300;petrol;automatic;117900
ford;focus;2019;117000;280;petrol;manual;92000
chrysler;300;2018;168000;296;petrol-lpg;automatic;73000
volkswagen;golf;2004;228000;115;petrol;manual;6000
land-rover;range-rover;2016;140000;510;petrol;automatic;159900
bmw;x4;2021;96000;190;diesel;automatic;139900
kia;niro;2021;83642;129;hybrid;automatic;88500
porsche;cayenne;2021;97508;340;petrol;automatic;95000
citroen;c1;2011;135000;68;petrol;manual;13000
opel;mokka;2014;119145;140;petrol;manual;38000
volkswagen;multivan;2021;87211;136;petrol;automatic;147900
opel;meriva;2007;157645;105;petrol;manual;10000
fiat;freemont;2011;189000;170;diesel;manual;28800
ford;c-max;2016;95176;150;diesel;manual;39900
mercedes-benz;cla;2020;30000;163;petrol;automatic;77500
bmw;seria-1;2005;203000;116;petrol;manual;14900
peugeot;3008;2022;27354;131;petrol;automatic;51800
kia;sportage;2015;88268;135;petrol-lpg;manual;48500
audi;q3-sportback;2021;48000;150;petrol;automatic;77900
audi;a3-sportback;2008;248075;105;diesel;manual;13000
ford;focus;2019;147000;182;petrol;manual;58700
suzuki;swift;2013;117600;94;petrol;manual;22900
subaru;legacy;2015;143000;167;petrol;automatic;42500
opel;mokka;2017;168230;136;diesel;manual;38000
mitsubishi;outlander;2016;125961;150;diesel;automatic;60000
ford;kuga;2019;77000;150;petrol;manual;63900
kia;ceed;2010;207521;90;petrol;manual;10000
skoda;karoq;2022;147165;150;petrol;automatic;75998
seat;altea;2007;195000;140;diesel;manual;10000
opel;astra;2000;152000;75;petrol;manual;6400
citroen;c4;2021;154000;130;diesel;automatic;47900
peugeot;5008;2019;170000;180;diesel;automatic;69900
opel;corsa;2011;178000;100;petrol;manual;14900
bmw;seria-3;2008;202354;170;petrol;manual;30000
bmw;seria-3;2003;339000;150;diesel;manual;9500
mercedes-benz;klasa-s;2013;159500;435;petrol;automatic;94900
toyota;yaris-cross;2022;74093;116;hybrid;automatic;91997
renault;megane;2015;145900;115;petrol;manual;14900
mitsubishi;colt;2006;226400;95;petrol-lpg;automatic;5500
cupra;born;2022;52000;204;electric;automatic;99000
peugeot;207;2011;149000;120;petrol;manual;10950
renault;laguna;2014;205766;180;diesel;manual;33000
jeep;grand-cherokee;2017;120000;468;petrol;automatic;105000
mazda;6;2008;287422;140;diesel;manual;8499
kia;picanto;2005;181337;65;petrol;manual;8000
hyundai;i30;2010;179400;109;petrol;manual;13900
audi;a6-avant;2007;231000;255;petrol;automatic;14900
audi;q7;2008;180000;239;diesel;automatic;40000
skoda;superb;2011;198741;180;petrol;automatic;23999
toyota;yaris;2010;93533;69;petrol;manual;15000
ford;fusion;2017;117043;241;petrol;automatic;49000
bmw;seria-3;2008;217609;177;diesel;manual;25900
volkswagen;tiguan;2012;169000;140;diesel;manual;34900
bmw;seria-1;2008;247332;122;petrol;manual;10500
alfa-romeo;stelvio;2024;32000;280;petrol;automatic;154900
mazda;6;2022;179825;194;petrol;automatic;89999
skoda;octavia;2009;273071;102;petrol-lpg;manual;16200
opel;insignia;2014;215000;163;diesel;automatic;21900
suzuki;swift;2007;189000;92;petrol;automatic;14000
volvo;v70;2012;217000;231;petrol;automatic;55000
kia;xceed;2021;67000;204;petrol;automatic;89900
peugeot;5008;2015;266906;150;diesel;manual;35500
seat;toledo;2017;189822;115;diesel;manual;25000
lexus;is;2007;124727;177;diesel;manual;27000
hyundai;santa-fe;2015;174531;150;diesel;manual;61500
opel;astra;2018;181672;140;petrol-lpg;manual;30000
chevrolet;aveo;2008;139541;72;petrol;manual;8000
citroen;c3;2017;159321;99;diesel;manual;18900
opel;astra;2016;202666;116;petrol;manual;23000
skoda;scala;2021;136702;110;petrol;manual;45998
kia;stinger;2019;119000;366;petrol;automatic;112000
audi;a6-avant;2017;178140;217;diesel;automatic;74998
peugeot;301;2013;150000;115;petrol;manual;15500
mercedes-benz;klasa-e;2020;181849;306;hybrid;automatic;100000
skoda;superb;2021;72459;280;petrol;automatic;126000
ligier;js60;2022;29000;8;diesel;automatic;49999
renault;trafic;2020;239000;125;diesel;manual;49900
toyota;aygo;2019;62000;72;petrol;manual;35000
jaguar;f-pace;2018;149900;180;diesel;automatic;82900
skoda;superb;2003;410000;130;diesel;manual;10600
bmw;x3;2019;88000;252;petrol;automatic;110000
hyundai;i20;2013;118546;86;petrol-lpg;manual;24500
skoda;superb;2016;151968;120;diesel;automatic;51500
hyundai;tucson;2020;64749;177;petrol;automatic;94999
peugeot;807;2006;401000;140;petrol-lpg;manual;8000
bmw;seria-3;2006;382000;163;diesel;automatic;11000
bmw;seria-3;2005;405000;150;petrol;manual;8500
nissan;tiida;2008;143118;126;petrol;manual;16000
volkswagen;golf;2014;148000;122;petrol;manual;37000
bmw;x4;2022;59500;252;petrol;automatic;165900
bmw;seria-3;2018;132628;136;petrol;automatic;75900
hyundai;tucson;2017;165000;136;diesel;manual;49700
chevrolet;cruze;2013;177000;140;petrol;manual;15999
opel;insignia;2013;146742;170;petrol;automatic;30999
opel;astra;2011;169000;90;petrol;manual;16499
citroen;c3-aircross;2019;52287;130;petrol;automatic;27900
fiat;tipo;2021;30747;100;petrol;manual;45500
opel;zafira;2018;175000;170;diesel;manual;39700
dacia;duster;2021;51000;130;petrol;manual;56900
bmw;seria-4;2015;131000;306;petrol;automatic;83000
mitsubishi;outlander;2018;89447;150;petrol;manual;66900
volvo;v60;2018;161000;190;diesel;automatic;101900
jeep;renegade;2018;143000;180;petrol;automatic;45900
peugeot;2008;2015;53600;110;petrol;manual;26800
audi;a6-limousine;2016;97620;252;petrol;automatic;75900
mercedes-benz;klasa-e;2021;128000;194;diesel;automatic;105000
renault;laguna;2007;249000;140;petrol;manual;10900
renault;megane;2018;119419;132;petrol;manual;30800
chrysler;pacifica;2017;153479;291;petrol;automatic;69000
ford;focus;2023;30874;280;petrol;automatic;139850
renault;kangoo;2005;138238;75;petrol;manual;10850
volkswagen;arteon;2021;188133;190;petrol;automatic;82900
opel;insignia;2019;144639;170;diesel;automatic;52000
audi;q3;2019;86000;230;petrol;automatic;66900
opel;astra;2004;270493;105;petrol;manual;5500
hyundai;i30;2013;182300;135;petrol;automatic;37900
lexus;sc;2005;203000;285;petrol;automatic;53000
volkswagen;passat-variant;2014;114826;160;petrol;automatic;38000
renault;megane;2013;123800;100;petrol;manual;21500
bmw;seria-2;2015;226039;136;petrol;manual;26000
bmw;x5;2010;330000;245;diesel;automatic;32500
kia;picanto;2021;41033;67;petrol;manual;42000
bmw;seria-3;2010;219000;204;diesel;automatic;44900
skoda;kodiaq;2017;141572;150;petrol;automatic;67998
seat;ibiza;2022;37000;80;petrol;manual;49999
audi;a3-sportback;2023;70000;150;plugin-hybrid;automatic;93900
peugeot;208;2020;45000;75;petrol;manual;14500
bmw;x2;2023;177871;136;petrol;automatic;75000
volkswagen;golf;2021;60978;115;diesel;automatic;22700
jaguar;xf;2013;175602;200;diesel;automatic;21900
toyota;aygo;2018;75452;72;petrol;manual;37000
renault;kadjar;2019;50752;140;petrol;automatic;68000
toyota;prius;2009;182488;136;hybrid;automatic;34900
audi;a5-sportback;2019;62981;150;petrol;automatic;105000
cupra;cupra-leon;2023;40232;300;petrol;automatic;129900
cupra;cupra-leon;2023;61242;300;petrol;automatic;124900
toyota;avensis;2011;130653;152;petrol;automatic;35000
mazda;cx-9;2013;99000;277;petrol;automatic;48500
volkswagen;passat;2021;69513;190;petrol;automatic;92900
nissan;qashqai;2014;166806;110;diesel;manual;40000
dacia;duster;2018;71000;114;petrol;manual;52999
mercedes-benz;gle;2021;187000;320;plugin-hybrid;automatic;154470
mercedes-benz;klasa-c;2016;196000;170;diesel;automatic;29900
toyota;aygo;2021;42692;72;petrol;manual;43000
audi;a6-avant;2017;207000;190;diesel;manual;58400
volkswagen;passat-variant;2007;111820;140;diesel;automatic;22222
mazda;cx-5;2013;184000;149;diesel;manual;38000
volvo;v40-cross-country;2015;175000;150;diesel;automatic;25700
peugeot;308;2023;27017;130;petrol;automatic;52900
toyota;yaris;2010;223642;99;petrol;manual;17500
audi;a4-avant;2005;337000;204;diesel;automatic;11900
kia;carens;2014;206551;135;petrol;manual;26500
audi;q5;2021;158693;265;petrol;automatic;135899
volvo;s60;2000;413288;200;petrol-lpg;automatic;7700
seat;leon;2013;85241;180;petrol;manual;47000
nissan;juke;2011;76126;190;petrol;automatic;37000
volkswagen;multivan;2014;139000;180;diesel;automatic;88900
hyundai;tucson;2016;129000;132;petrol;manual;54900
peugeot;3008;2017;168344;130;petrol;manual;39500
skoda;superb;2016;162000;190;diesel;automatic;64900
toyota;corolla;2020;169758;122;hybrid;automatic;71498
mercedes-benz;klasa-a;2020;93830;109;petrol;manual;65000
citroen;c5;2015;229860;163;diesel;manual;23000
ford;fusion;2019;103000;177;petrol;automatic;64900
chevrolet;orlando;2012;140107;141;petrol;manual;27000
audi;a8;2003;341500;275;diesel;automatic;13900
suzuki;swift;2005;265472;92;petrol-lpg;manual;6600
audi;a4-avant;2008;229000;265;petrol;manual;25000
honda;cr-v;2008;276815;140;diesel;manual;19000
